site,depth,month,day,year,alk,turb,nh3,tn,nos,srp,tp,chl
11,0,2,27,2021,19.1,0.79,-8.8,371.8,278.7,0.8,6.1,3.11
11,5,2,27,2021,19.3,0.8,-10,374.8,290.3,0.7,6.6,3.12
11,10,2,27,2021,18.6,0.82,-9.6,363.6,289.2,0.6,6.1,2.91
11,15,2,27,2021,19.2,0.76,-6.7,392.4,322.8,1.3,6.4,3.06
11,20,2,27,2021,19.4,0.85,-9.5,385.4,301.8,0.7,6,3.21
21,0,2,27,2021,18.6,0.5,-10.4,366,332.1,0.8,4.7,2.27
21,5,2,27,2021,18.3,0.54,-9.6,389.2,328.4,0.7,4.8,2.19
21,10,2,27,2021,18.7,0.55,-9,371.4,341.9,0.9,4.8,2.25
22,0,2,24,2021,18.5,0.48,-10.7,388.5,329.3,0.6,5.1,1.63
22,5,2,24,2021,18.5,0.51,-10.6,360.5,302.6,0.7,4.8,2.17
22,10,2,24,2021,18.4,0.55,-11.1,387.4,326.9,1,4.8,2.1
22,15,2,24,2021,18.7,0.59,-10.8,380.6,331.6,0.5,4.8,2
22,20,2,24,2021,18.5,0.54,-9.7,406.6,329.8,0.4,4.9,1.48
31,0,2,17,2021,18.4,0.45,-5.7,402.4,325.8,2.5,4.5,0.82
31,5,2,17,2021,18.6,0.5,-9.1,444.6,350.2,2.4,5,1.13
31,10,2,17,2021,18.5,0.56,-8.5,445.5,354.3,2.1,5.4,1.03
31,15,2,17,2021,NA,NA,NA,NA,NA,NA,NA,1.02
31,20,2,17,2021,18.5,0.51,-8.3,431.1,354.1,2.1,4.7,0.82
31,40,2,17,2021,18.4,0.051,-8.1,436.9,356.1,1.9,4.6,NA
31,60,2,17,2021,19,0.63,-8.7,444.3,358.1,2.3,4.9,NA
31,75,2,17,2021,18.6,0.56,-8.1,429.9,340.2,2.1,5,NA
31,80,2,17,2021,NA,NA,NA,NA,NA,NA,NA,
32,0,2,17,2021,18.4,0.48,-7.3,447.6,356.4,2.1,4.6,0.72
32,5,2,17,2021,18.6,0.53,-7.7,436,344.4,2.1,4.5,0.78
32,10,2,17,2021,18.4,0.47,-6.4,470,356,2.2,4.8,0.78
